,Age,Industry,Job title,Annual Salary(USDA),Working In,City,Years of Experience,Present Field Experience,Education,Gender,Race
28,25-34,Nonprofits,Volunteer and Giving Coordinator,39000,United states,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
29,35-44,Media & Digital,Editor,125000,United states,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
30,25-34,"Accounting, Banking & Finance",Financial Advisor,230000,United states,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
31,35-44,"Accounting, Banking & Finance",Accounting Manager,110000,United states,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
32,25-34,Nonprofits,Administrative and HR Manager,50000,United states,Washington,5-7 years,2 - 4 years,College degree,Woman,White
33,35-44,Education (Higher Education),Senior IRB Analyst,68000,United states,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
34,18-24,Media & Digital,Reporter,41000,United states,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
35,25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,United states,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
36,35-44,Government and Public Administration,Staff Services Manager II,78000,United states,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
37,25-34,"Accounting, Banking & Finance",Receptionist,37000,United states,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
38,45-54,Engineering or Manufacturing,Lead Engineer,100000,United states,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
39,35-44,"Marketing, Advertising & PR",Senior Copywriter,46025,United kingdom,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
40,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,United states,Richmond,5-7 years,5-7 years,College degree,Man,White
41,25-34,Computing or Tech,Principal Software Engineer,187500,United states,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
42,25-34,Computing or Tech,Intelligence Analyst,110000,United states,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
43,25-34,Nonprofits,Project Manager,66625,United states,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
44,35-44,Computing or Tech,Mobile developer,144600,United states,Boston,5-7 years,5-7 years,PhD,Woman,White
45,35-44,Computing or Tech,Product Design Director,200850,United states,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
46,25-34,Engineering or Manufacturing,Engineering specialist,89400,United kingdom,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
47,25-34,Retail,"Manager, Total Rewards",72637,United kingdom,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
48,35-44,Education (Higher Education),Research and Development Engineer 3,96000,United states,Berkeley,5-7 years,5-7 years,PhD,Woman,White
49,25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,United states,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
50,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,United states,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
51,35-44,Computing or Tech,Managed Services Sales Coordinator,72000,United states,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
52,35-44,Media & Digital,Editor,38740,United kingdom,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
53,35-44,Engineering or Manufacturing,Water Resources Engineer,106000,United states,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
54,25-34,Government and Public Administration,Program Officer,115000,United states,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
55,25-34,Business or Consulting,Account Supervisor,100500,United states,Washington,11 - 20 years,5-7 years,College degree,Woman,White
56,25-34,Law,Legal Secretary,33200,United states,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
57,35-44,Government and Public Administration,Policy Lead,68380,United kingdom,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
58,25-34,Education (Higher Education),Coordinator,52000,United states,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
59,25-34,Government and Public Administration,Senior Advisor,58855,United kingdom,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
60,65 or over,Property or Construction,Safety Director,104000,United states,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
61,25-34,Education (Primary/Secondary),Secondary School Educator,55875,United kingdom,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
62,18-24,Biotechnology,Downstream Process Development Research Associate I,52000,United states,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
63,25-34,Education (Higher Education),Research Programmer,70000,United states,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
64,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,United states,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
65,35-44,Health care,AR Manager,53000,United states,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
66,25-34,Computing or Tech,Technical specialist,34000,United states,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
67,25-34,Nonprofits,Programming Coordinator,38000,United states,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
68,25-34,Government and Public Administration,City Research Scientist II,87000,United states,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
69,35-44,Aerospace contracting,Project engineer ,122000,United states,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
70,25-34,Insurance,Pricing Analyst,59175,United kingdom,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
71,25-34,Engineering or Manufacturing,Marketing Coordinator,45000,United states,Columbia,5-7 years,5-7 years,Some college,Woman,White
72,35-44,Computing or Tech,Tech Writer,88000,United states,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
73,35-44,Nonprofits,Supervisory Archivist,71000,United states,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
74,45-54,Education (Higher Education),Program Manager,71000,United states,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
75,35-44,Education (Primary/Secondary),High School Teacher at an independent school,75000,United states,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
76,35-44,Education (Higher Education),Manager of Market Research and Data,80000,United states,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
77,35-44,Computing or Tech,Senior Business Analyst,125000,United states,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
78,35-44,Education (Higher Education),Special Collections Cataloger,65000,United states,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
79,45-54,Education (Primary/Secondary),Teacher ,47340,United kingdom,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
80,25-34,Nonprofits,Graphic Designer / Webmaster,55000,United states,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
81,25-34,Art & Design,Senior UX Designer,90000,United states,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
82,35-44,Engineering or Manufacturing,Senior Engineer ,105000,United states,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
83,35-44,Nonprofits,Office Administrator,44700,United kingdom,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
84,35-44,Education (Higher Education),Digital Archivist,65000,United states,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
85,25-34,Business or Consulting,Associate Program Manager,85000,United states,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
86,25-34,Sales,CSR,39520,United states,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White
87,45-54,Computing or Tech,Director of Engineering,85675,United kingdom,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
88,25-34,Energy,Fuel Efficiency Program Analyst,76000,United states,Washington,8 - 10 years,5-7 years,College degree,Woman,White
89,55-64,Business or Consulting,Senior Vice President of Marketing,180000,United states,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
90,25-34,"Accounting, Banking & Finance",Accounting Manager,90000,United states,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
91,25-34,Government and Public Administration,Technical Assistant,25379,United kingdom,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
92,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,65000,United states,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
93,45-54,Computing or Tech,senior web application developer,98166,United states,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
94,25-34,Education (Primary/Secondary),Director of Development,63500,United states,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
95,55-64,Environmental regulation,Quality Assurance Lead,58,United states,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
96,25-34,Nonprofits,Program & Administrative Assistant,47700,United states,Washington,5-7 years,2 - 4 years,College degree,Woman,White
97,55-64,Computing or Tech,Chief Engineer,87000,United states,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
98,35-44,Media & Digital,Production Co-ordinator,35760,United kingdom,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
99,25-34,Education (Higher Education),Administrative Support Assistant,39635,United states,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
100,25-34,Government and Public Administration,Administrative Officer,53000,United states,Troy,8 - 10 years,5-7 years,College degree,Man,White
101,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,47255,United states,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
102,35-44,Property or Construction,Senior Project Manager,196000,United states,New York,11 - 20 years,11 - 20 years,College degree,Man,White
103,45-54,Health care,Customer Service Representative,34361,United states,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
104,45-54,Engineering or Manufacturing,Senior Device Engineer,150000,United states,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
105,25-34,Hospitality & Events,Graphic Designer,75000,United states,New York City,5-7 years,5-7 years,College degree,Woman,White
106,35-44,Education (Higher Education),Graduate Student,20000,United states,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
107,25-34,Computing or Tech,Senior Financial Analyst,107220,United states,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
108,35-44,Government and Public Administration,Case Manager,58110,United kingdom,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
109,45-54,Education (Higher Education),Professor,95000,United states,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
110,45-54,Sales,Office Manager,42000,United states,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
111,25-34,"Accounting, Banking & Finance",Finance Manager,100000,United states,New York,5-7 years,5-7 years,Master's degree,Woman,White
112,25-34,Computing or Tech,Software engineer,65750,United kingdom,Nottingham,5-7 years,2 - 4 years,High School,Man,White
113,35-44,Education (Higher Education),Medical Education Director,119000,United states,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
114,45-54,"Accounting, Banking & Finance",Finance acountant,86790,United kingdom,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
115,35-44,Transport or Logistics,Program manager,67320,Netherlands,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
116,25-34,Education (Higher Education),Associate Director of Donor Relations,75000,United states,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
117,35-44,Education (Higher Education),Assistant Professor of Law,145000,United states,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
118,25-34,"Accounting, Banking & Finance",investment advisor,70775,United kingdom,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
119,25-34,"Marketing, Advertising & PR",Content Writer,48000,United states,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
120,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,75000,United states,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
121,35-44,Media & Digital,Digital Marketing Specialist,42000,United states,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
122,35-44,Nonprofits,Archivist,54000,United states,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
123,35-44,Education (Higher Education),Assistant Professor,68540,United kingdom,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
124,45-54,Government and Public Administration,Head of Public Sector Data Sharing ,66894,United kingdom,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
125,55-64,Medical Devices,QC Supervisor,60000,United states,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
126,55-64,Nonprofits,Content Development Manager,101500,United states,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
127,25-34,Academic research (Psychology),Clinical Research Assistant II,36883,United states,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
128,25-34,Media & Digital,news editor,85000,United states,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
129,25-34,Education (Higher Education),Senior Administrative Assistant ,62000,United states,Cambridge,5-7 years,5-7 years,College degree,Woman,White
130,35-44,Computing or Tech,Product Manager,130000,United states,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White
131,55-64,Education (Higher Education),career services professional,55000,United states,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
132,25-34,Government and Public Administration,Project Coordinator,59015,United states,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
133,25-34,Business or Consulting,"Associate Manager, Education",71000,United states,New York City,5-7 years,5-7 years,College degree,Woman,White
134,45-54,Social Work,Director,53000,United states,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
135,25-34,public library,Senior Librarian,63000,United states,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
136,35-44,Engineering or Manufacturing,Project Estimator,95000,United states,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
137,35-44,Surveying ,Accounts manager ,53550,Australia,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
138,35-44,Nonprofits,Customer Advocate,35000,United states,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
139,18-24,Hospitality & Events,Customer Service Specialist,33280,United states,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
140,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,56000,United states,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
141,35-44,Education (Higher Education),Associate Director,85000,United states,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
142,35-44,Education (Higher Education),Editor,62000,United states,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
143,25-34,Law,Staff Attorney,74000,United states,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
144,25-34,Nonprofits,Program Associate,63000,United states,DC,5-7 years,2 - 4 years,College degree,Woman,White
145,25-34,Recruitment or HR,Senior People Advisor,59175,United kingdom,London,11 - 20 years,8 - 10 years,College degree,Woman,White
147,35-44,Nonprofits,Online Sales Support Manager,86000,United states,New York ,11 - 20 years,8 - 10 years,College degree,Woman,White
148,18-24,PhD,PhD Candidate,24985,United kingdom,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
149,35-44,Education (Higher Education),Research Technologist,42000,United states,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
150,55-64,Biopharma,RIM Manager,114000,United states,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
151,45-54,Insurance,Senior Client Service Representative,73000,United states,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
152,35-44,Nonprofits,Funding Manager,71010,United kingdom,London,11 - 20 years,11 - 20 years,College degree,Woman,White
153,45-54,Health care,Clinical analyst,100000,United states,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
154,25-34,Publishing,Editor,35505,United kingdom,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
155,18-24,Government and Public Administration,Policy Analyst ,60129,United states,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
156,45-54,STEM research,Research Scientist,135000,United states,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
157,25-34,Computing or Tech,Service Designer,130000,United states,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
158,25-34,Libraries,Librarian,26000,United states,Ardmore,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
159,25-34,"Accounting, Banking & Finance",Senior Accountant,60000,United states,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
160,35-44,Nonprofits,Administrative Assistant,37000,United states,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
161,25-34,Engineering or Manufacturing,User experience specialist,85000,United states,Charleston,5-7 years,5-7 years,College degree,Woman,White
162,35-44,Media & Digital,Self-employed writer,45000,United states,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
163,25-34,Nonprofits,Director of Development,92000,United states,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
164,25-34,Health care,occupational therapist,39,Finland,helsinki,2 - 4 years,2 - 4 years,College degree,Woman,White
165,25-34,Engineering or Manufacturing,Production Technician,65000,United states,Madison,5-7 years,2 - 4 years,College degree,Man,White
166,35-44,"Marketing, Advertising & PR",Graphic Designer,35000,United states,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
167,25-34,"Accounting, Banking & Finance",Compliance Officer,74000,United states,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
168,25-34,Engineering or Manufacturing,Director of Intelligence,102500,United states,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
169,35-44,Nonprofits,Coordinator of Survivor Services,70000,United states,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
170,45-54,Computing or Tech,Software Development Manager,140000,United states,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
171,35-44,Architecture,Project Architect,58000,United states,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
172,35-44,"Marketing, Advertising & PR",Brand Consultant,400000,United states,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White
173,35-44,Nonprofits,HR director,61200,United states,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
174,25-34,"Marketing, Advertising & PR",Marketing Director ,111775,United kingdom,London ,8 - 10 years,8 - 10 years,College degree,Woman,White
175,25-34,Recruitment or HR,Talent Acquisition Specialist,66000,United states,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
176,35-44,Computing or Tech,technical support specialist,70000,United states,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
177,25-34,Education (Higher Education),Communications Specialist,52000,United states,Boston,5-7 years,5-7 years,College degree,Woman,White
178,45-54,Property or Construction,CAD Manager,75500,United states,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman,White
179,25-34,"Marketing, Advertising & PR",Content Strategist and Writer,57000,United states,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White
180,25-34,Nonprofits,Associate,83200,United states,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
181,18-24,"Marketing, Advertising & PR","Manager, Planning",77500,United states,New York City ,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
182,35-44,Retail,Fulfillment Expert,31200,United states,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White
183,25-34,Health care,Midwife,40765,United kingdom,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White
184,35-44,"Marketing, Advertising & PR",Associate Creative Director,215000,United states,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
185,25-34,Academic Medicine ,Administrative Specialist,55000,United states,Chicago,8 - 10 years,5-7 years,College degree,Man,White
186,45-54,Law,Senior Corporate Counsel,220000,United states,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
187,25-34,Retail,Head of Data & Analytics,100000,United states,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
188,25-34,Computing or Tech,Systems Analyst,80000,United states,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
189,25-34,Education (Higher Education),Librarian,52500,United states,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White
190,25-34,Media & Digital,UX designer,40392,France,Lyon,2 - 4 years,2 - 4 years,Master's degree,Woman,White
191,25-34,"Accounting, Banking & Finance",Lead business controls specialist,94000,United states,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
192,25-34,Engineering or Manufacturing,Product Engineer,57000,United states,Seattle,5-7 years,5-7 years,College degree,Woman,White
193,35-44,Computing or Tech,Senior Technical Writer,83000,United states,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
194,35-44,Nonprofits,Senior Director,90000,United states,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
195,35-44,Hospitality & Events,Hotel Sales Manager,66950,United states,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White
196,25-34,Government and Public Administration,Planner,76000,United states,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
197,25-34,Engineering or Manufacturing,Principal Engineer,68380,United kingdom,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
198,25-34,Nonprofits,Information and Program Manager,70000,United states,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman,White
199,25-34,Education (Higher Education),Assistant Professor,60000,United states,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary,White
200,35-44,Engineering or Manufacturing,Media and PR,80000,United states,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
201,35-44,Nonprofits,Technical assistance provider,70000,United states,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
202,25-34,Education (Higher Education),Library Specialist,34299,United states,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
203,25-34,Computing or Tech,Strategic Operations and Programme Manager,118350,United kingdom,London,11 - 20 years,11 - 20 years,Master's degree,Woman,White
204,35-44,Education (Higher Education),"Assistant Director, Student Affairs",50000,United states,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
205,35-44,Hospitality & Events,Director of Client Services,85000,United states,New York City,11 - 20 years,5-7 years,College degree,Woman,White
206,35-44,Retail,Loss prevention manager,87000,United states,San Jose,8 - 10 years,2 - 4 years,High School,Woman,White
207,35-44,Law,Associate Attorney,125000,United states,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
208,35-44,Commercial Real Estate ,Administrative Associate,55000,United states,Dallas,11 - 20 years,5-7 years,Some college,Woman,White
209,55-64,Law,Attorney,275000,United states,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White
210,25-34,Pet care industry (dog training/walking),Operations Manager,48500,United states,Boston,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
211,35-44,Engineering or Manufacturing,Software engineer,139000,United states,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
212,25-34,Law,Paralegal / Legal Assistant,54080,United states,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White
213,35-44,Insurance,Manager & Actuary,170000,United states,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
214,25-34,"Marketing, Advertising & PR",Marketing Manager,44700,United kingdom,Remote Worker,8 - 10 years,8 - 10 years,College degree,Woman,White
215,45-54,Education (Primary/Secondary),Librarian,70000,United states,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White
216,25-34,Nonprofits,Communications Associate,53000,United states,Washington,5-7 years,2 - 4 years,College degree,Woman,White
217,35-44,Health care,Cytotechnologist ,82160,United states,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White
218,25-34,Recruitment or HR,Onboarding Partner,71000,United states,buffalo,11 - 20 years,2 - 4 years,College degree,Woman,White
219,18-24,Engineering or Manufacturing,Graduate Research Assitant,25700,United states,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
220,25-34,Politics,Deputy C-level,105000,United states,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman,White
221,35-44,Education (Higher Education),"Librarian, non-supervisory",77000,United states,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
